type,phenomenon,dataset,underspecified sentence,control sentence,und length in words,control length in words,und word length,control word length,und length in characters,control length in characters,und average concreteness,control average concreteness,und average AoA,control average AoA,und average word frequency,control average word frequency
3,Referential Ambiguity,WSC273,Anne gave birth to a daughter last month. She is a very charming baby.,Anne gave birth to a son last month. He is a very charming baby.,14,14,4.071428571,3.642857143,70,64,2.603219131,2.556790559,7.243219743,7.159648315,0.110746517,0.110839623
3,Referential Ambiguity,WSC273,Anne gave birth to a daughter last month. She is a very charming woman.,Anne gave birth to a son last month. She is a very charming woman.,14,14,4.142857143,3.785714286,71,66,2.603219131,2.556790559,7.243219743,7.159648315,0.110746517,0.110839623
3,Referential Ambiguity,WSC273,"Archaeologists have concluded that humans lived in Laputa 20,000 years ago. They hunted for deer on the river banks.","An archaeologist has concluded that humans lived in Laputa 20,000 years ago. They hunted for deer on the river banks.",19,20,5.157894737,4.9,116,117,2.922245767,3.041446826,8.230644618,8.66711404,0.106309596,0.099875869
3,Referential Ambiguity,WSC273,"Archaeologists have concluded that humans lived in Laputa 20,000 years ago. They hunted for evidence on the river banks.","An archaeologist has concluded that humans lived in Laputa 20,000 years ago. He hunted for evidence on the river banks.",19,20,5.368421053,5.0,120,119,2.858561556,2.980946826,8.51538146,8.93761404,0.106427901,0.099988259
3,Referential Ambiguity,WSC273,"As Andrea in the crop duster passed over Susan, she could see the landing gear.","As Andrea in the crop duster passed over Charlie, he could see the landing gear.",15,15,4.333333333,4.4,79,80,2.944088986,2.982088986,7.487520494,7.503861227,0.163049026,0.164500384
3,Referential Ambiguity,WSC273,"As Andrea in the crop duster passed over Susan, she could see the landing strip.","As Andrea in the crop duster passed over Charlie, she could see the landing strip.",15,15,4.4,4.533333333,80,82,2.944088986,2.944088986,7.487520494,7.487520494,0.163049026,0.163049026
3,Referential Ambiguity,WSC273,"As Ollie carried Tommy up the long winding steps, his legs ached.","As Ollie carried Emma up the long winding steps, his legs ached.",12,12,4.5,4.416666667,65,64,3.075633479,3.075633479,8.568910378,8.568910378,0.089830387,0.089830387
3,Referential Ambiguity,WSC273,"As Ollie carried Tommy up the long winding steps, his legs dangled.","As Ollie carried Emma up the long winding steps, her legs dangled.",12,12,4.666666667,4.583333333,67,66,3.075633479,3.063966812,8.568910378,8.686137378,0.089830387,0.088864294
3,Referential Ambiguity,WSC273,"Beth didn't get angry with Sally, who had cut her off, because she stopped and apologized.","Beth didn't get angry with Dan, who had cut her off, because he stopped and apologized.",16,16,4.6875,4.5,90,87,2.656333424,2.691958424,7.186096467,7.201415904,0.051313039,0.052673686
3,Referential Ambiguity,WSC273,"Beth didn't get angry with Sally, who had cut her off, because she stopped and counted to ten.","Beth didn't get angry with Dan, who had cut her off, because she stopped and counted to ten.",18,18,4.277777778,4.166666667,94,92,2.615977875,2.615977875,7.218297363,7.218297363,0.074769311,0.074769311
3,Referential Ambiguity,WSC273,Bill passed the gameboy to John because his turn was next.,Bill passed the gameboy to his friends because their turn was next.,11,12,4.363636364,4.666666667,58,67,2.664097075,2.720422319,7.833915491,7.619638117,0.148573189,0.139404341
3,Referential Ambiguity,WSC273,Bill passed the gameboy to John because his turn was over.,Bill passed the gameboy to his friends because his turn was over.,11,12,4.363636364,4.5,58,65,2.664097075,2.703755652,7.833915491,7.488201784,0.148573189,0.138962488
3,Referential Ambiguity,WSC273,Bill passed the half-empty plate to John because he was full.,Bill passed the half-empty plate to his wife because he was full.,11,12,4.636363636,4.5,61,65,2.70648498,2.833755652,7.820995855,7.032189361,0.149060304,0.139179257
3,Referential Ambiguity,WSC273,Bill passed the half-empty plate to John because he was hungry.,Bill passed the half-empty plate to his wife because she was hungry.,11,12,4.818181818,4.75,63,68,2.70648498,2.786255652,7.820995855,7.011763445,0.149060304,0.13736506
3,Referential Ambiguity,WSC273,Billy cried because Toby wouldn't accept his toy.,Billy cried because Sam wouldn't accept his toy.,8,8,5.25,5.125,49,48,2.933133479,2.933133479,8.733439292,8.733439292,0.005327678,0.005327678
3,Referential Ambiguity,WSC273,Billy cried because Toby wouldn't share his toy.,Billy cried because Sam wouldn't share their toy.,8,8,5.125,5.25,48,49,2.924383479,2.949383479,8.495939292,8.693093792,0.005738959,0.006401738
3,Referential Ambiguity,WSC273,Bob collapsed on the sidewalk. Soon he saw Carl coming to help. He was very concerned.,Bob collapsed on the sidewalk. Soon he saw a doctor coming to help. She was very concerned.,16,17,4.4375,4.411764706,86,91,2.756258479,2.777286394,8.111576913,7.428151855,0.112967712,0.129508508
3,Referential Ambiguity,WSC273,Bob collapsed on the sidewalk. Soon he saw Carl coming to help. He was very ill.,Bob collapsed on the sidewalk. Soon he saw a doctor coming to help. He was very ill.,16,17,4.0625,4.0,80,84,2.756258479,2.777286394,8.111576913,7.428151855,0.112967712,0.129508508
3,Referential Ambiguity,WSC273,"Bob paid for Charlie's college education, but now Charlie acts as though it never happened. He is very hurt.","Alice paid for Charlie's college education, but now Charlie acts as though it never happened. She is very hurt.",19,19,4.736842105,4.894736842,108,111,2.489480824,2.489480824,8.442478141,8.442478141,0.041326186,0.041326186
3,Referential Ambiguity,WSC273,"Bob paid for Charlie's college education, but now Charlie acts as though it never happened. He is very ungrateful.","Alice paid for Charlie's college education, but now Charlie acts as though it never happened. He is very ungrateful.",19,19,5.052631579,5.157894737,114,116,2.489480824,2.489480824,8.442478141,8.442478141,0.041326186,0.041326186
3,Referential Ambiguity,WSC273,Bob paid for Charlie's college education. He is very generous.,Alice paid for Charlie's college education. She is very generous.,10,10,5.3,5.6,62,65,2.748760174,2.748760174,9.465919347,9.465919347,0.048520588,0.048520588
3,Referential Ambiguity,WSC273,Bob paid for Charlie's college education. He is very grateful.,Alice paid for Charlie's college education. He is very grateful.,10,10,5.3,5.5,62,64,2.748760174,2.748760174,9.465919347,9.465919347,0.048520588,0.048520588
3,Referential Ambiguity,WSC273,"Bob was playing cards with Adam and was way ahead. If Adam hadn't had a sudden run of good luck, he would have lost.","Bob was playing cards with his friends and was way ahead. If his friends hadn't had a sudden run of good luck, they would have lost.",24,26,3.875,4.115384615,116,132,2.489694565,2.501256522,8.014450328,7.722431149,0.082524136,0.078800539
3,Referential Ambiguity,WSC273,"Bob was playing cards with Adam and was way ahead. If Adam hadn't had a sudden run of good luck, he would have won.","Bob was playing cards with his friends and was way ahead. If his friends hadn't had a sudden run of good luck, he would have won.",24,26,3.833333333,4.0,115,129,2.489694565,2.53971806,8.014450328,7.681442688,0.082524136,0.078733416
3,Referential Ambiguity,WSC273,Carol believed that Rebecca regretted that she had stolen the watch.,Carol believed that Fred regretted that he had stolen the watch.,11,11,5.272727273,4.909090909,68,64,2.519212253,2.571030435,8.691829679,8.714112497,0.120954661,0.122933784
3,Referential Ambiguity,WSC273,Carol believed that Rebecca suspected that she had stolen the watch.,Carol believed that Fred suspected that she had stolen the watch.,11,11,5.272727273,5.0,68,65,2.446824348,2.446824348,8.691829679,8.691829679,0.120976078,0.120976078
3,Referential Ambiguity,WSC273,Dan had to stop Bill from toying with the injured bird. He is very compassionate.,Dan had to stop Grace from toying with the injured bird. He is very compassionate.,15,15,4.466666667,4.533333333,81,82,2.442088986,2.442088986,8.24067104,8.24067104,0.133555357,0.133555357
3,Referential Ambiguity,WSC273,Dan had to stop Bill from toying with the injured bird. He is very cruel.,Dan had to stop Grace from toying with the injured bird. She is very cruel.,15,15,3.933333333,4.066666667,73,75,2.442088986,2.442088986,8.24067104,8.24067104,0.133555357,0.133555357
3,Referential Ambiguity,WSC273,"Dan took the rear seat while Bill claimed the front because his ""Dibs!"" was quicker.","Anna took the rear seat while Bill claimed the front because his ""Dibs!"" was quicker.",15,15,4.666666667,4.733333333,84,85,2.692755652,2.692755652,7.787778831,7.787778831,0.141625114,0.141625114
3,Referential Ambiguity,WSC273,"Dan took the rear seat while Bill claimed the front because his ""Dibs!"" was slow.","Anna took the rear seat while Bill claimed the front because her ""Dibs!"" was slow.",15,15,4.466666667,4.533333333,81,82,2.692755652,2.683422319,7.787778831,7.881560431,0.141625114,0.14085224
3,Referential Ambiguity,WSC273,Dr. Adams informed Kate that she had cancer and presented several options for future treatment.,The doctors informed Kate that she had cancer and presented several options for future treatment.,15,15,5.4,5.533333333,95,97,2.564506783,2.564506783,8.558081303,8.558081303,0.068219032,0.068266428
3,Referential Ambiguity,WSC273,Dr. Adams informed Kate that she had retired and presented several options for future treatment.,The doctors informed Kate that they had retired and presented several options for future treatment.,15,15,5.466666667,5.666666667,96,99,2.531173449,2.502506783,8.732083507,8.819470907,0.068062957,0.069678057
3,Referential Ambiguity,WSC273,Emma did not pass the ball to Janie although she saw that she was open.,Emma did not pass the ball to me although she saw that I was open.,15,15,3.8,3.466666667,71,66,2.653920058,2.778168928,6.747554489,6.181047218,0.12671675,0.127372144
3,Referential Ambiguity,WSC273,Emma did not pass the ball to Janie although she was open.,Emma did not pass the ball to me although I was open.,12,12,3.916666667,3.5,58,53,2.537400073,2.69271116,7.229806778,6.521672689,0.1447528,0.145572042
3,Referential Ambiguity,WSC273,"Emma's mother had died long ago, and her education had been managed by an excellent woman as governess.","Emma's father had died long ago, and her education had been managed by an excellent woman as governess.",18,18,4.777777778,4.777777778,103,103,2.598963044,2.594518599,8.114891367,8.197113589,0.05479747,0.054776213
3,Referential Ambiguity,WSC273,"Emma's mother had died long ago, and her place had been taken by an excellent woman as governess.","Emma's father had died long ago, and his place had been taken by an excellent woman as governess.",18,18,4.444444444,4.444444444,97,97,2.608614879,2.611948213,8.017669145,8.021740034,0.054823043,0.055445849
3,Referential Ambiguity,WSC273,"Everyone really loved the oatmeal cookies; only a few people liked the chocolate chip cookies. Next time, we should make fewer of them.","Everyone really loved the oatmeal cookies; only a few people liked the pudding. Next time, we should make fewer of it.",23,21,4.913043478,4.666666667,135,118,2.874191418,2.698876315,7.359332855,7.62117408,0.135755129,0.148595294
3,Referential Ambiguity,WSC273,"Everyone really loved the oatmeal cookies; only a few people liked the chocolate chip cookies. Next time, we should make more of them.","Everyone really loved the oatmeal cookies; only a few people liked the pudding. Next time, we should make more of them.",23,21,4.869565217,4.714285714,134,119,2.845223289,2.667149317,7.045473331,7.277423172,0.138637873,0.151752585
3,Referential Ambiguity,WSC273,Frank felt crushed when his longtime rival Bill revealed that he was the winner of the competition.,Frank felt crushed when his longtime rival Jane revealed that she was the winner of the competition.,17,17,4.882352941,4.941176471,99,100,2.595223581,2.561694169,7.381639024,7.36722073,0.169187213,0.167906604
3,Referential Ambiguity,WSC273,Frank felt vindicated when his longtime rival Bill revealed that he was the winner of the competition.,Frank felt vindicated when his longtime rival Jane revealed that she was the winner of the competition.,17,17,5.058823529,5.117647059,102,103,2.52618046,2.492651049,7.381639024,7.36722073,0.169180805,0.167900195
3,Referential Ambiguity,WSC273,Frank was upset with Tom because the toaster he had bought from him didn't work.,Grace was upset with Tom because the toaster she had bought from him didn't work.,15,15,4.4,4.466666667,80,81,2.655671189,2.617671189,7.568852698,7.552511965,0.092030624,0.090579266
3,Referential Ambiguity,WSC273,Frank was upset with Tom because the toaster he had sold him didn't work.,Grace was upset with Tom because the toaster he had sold her didn't work.,14,14,4.285714286,4.285714286,73,73,2.713933416,2.675361988,7.792199462,7.910948891,0.091614106,0.092146505
3,Referential Ambiguity,WSC273,"Fred and Alice had very warm down coats, but they were not enough for the cold in Alaska.","Fred had very warm clothes, but they were not enough for the cold in Alaska.",18,15,4.0,4.133333333,89,76,2.428614879,2.375920058,6.743668467,6.725593156,0.136435024,0.125615749
3,Referential Ambiguity,WSC273,"Fred and Alice had very warm down coats, but they were not prepared for the cold in Alaska.","Fred had very warm clothes, but he was not prepared for the cold in Alaska.",18,15,4.111111111,4.066666667,91,75,2.46972599,2.505920058,6.968278637,6.924078694,0.136312342,0.127982242
3,Referential Ambiguity,WSC273,"Fred covered his eyes with his hands, because the wind was blowing sand around. He lowered them when the wind stopped.","Fred covered his eyes with his arm, because the wind was blowing sand around. He lowered it when the wind stopped.",21,21,4.666666667,4.476190476,118,114,2.963695321,2.95274294,7.057892172,7.034040791,0.110710358,0.115671044
3,Referential Ambiguity,WSC273,"Fred covered his eyes with his hands, because the wind was blowing sand around. He opened them when the wind stopped.","Fred covered his eyes with his arm, because the wind was blowing sand around. He opened them when the wind stopped.",21,21,4.619047619,4.523809524,117,115,2.963695321,2.963695321,7.057892172,7.057892172,0.110751739,0.110751739
3,Referential Ambiguity,WSC273,"Fred is the only man alive who still remembers my father as an infant. When Fred first saw my father, he was twelve months old.","Fred is the only man alive who still remembers my mother as an infant. When Fred first saw my father, he was twelve months old.",25,25,4.12,4.12,127,127,2.858005426,2.861205426,7.23696635,7.17776635,0.066639815,0.066655119
3,Referential Ambiguity,WSC273,"Fred is the only man alive who still remembers my father as an infant. When Fred first saw my father, he was twelve years old.","Fred is the only man alive who still remembers my mother as an infant. When Fred first saw my father, she was twelve years old.",25,25,4.08,4.12,126,127,2.858005426,2.838405426,7.23696635,7.16796191,0.067031672,0.066176163
3,Referential Ambiguity,WSC273,Fred is the only man still alive who remembers my great-grandfather. He is a remarkable man.,Fred is the only man still alive who remembers my great-grandmother. He is a remarkable man.,16,16,4.8125,4.8125,92,92,2.568833424,2.568833424,7.410142654,7.410142654,0.119903801,0.119903801
3,Referential Ambiguity,WSC273,Fred is the only man still alive who remembers my great-grandfather. He was a remarkable man.,Fred is the only man still alive who remembers my great-grandmother. She was a remarkable woman.,16,16,4.875,5.0625,93,96,2.575083424,2.575083424,7.410142654,7.410142654,0.111198925,0.111198925
3,Referential Ambiguity,WSC273,"Fred was supposed to run the dishwasher, but he put it off, because he wanted to watch TV. But the show turned out to be boring, so he changed his mind and turned it off.","Fred was supposed to run the dishwasher, but he put it off, because he wanted to watch TV. But the shows turned out to be boring, so he changed his mind and turned them off.",35,35,3.885714286,3.971428571,170,173,2.68875436,2.668647702,6.733328366,6.884497282,0.138194321,0.135016938
3,Referential Ambiguity,WSC273,"Fred was supposed to run the dishwasher, but he put it off, because he wanted to watch TV. But the show turned out to be boring, so he changed his mind and turned it on.","Fred was supposed to run the dishwasher, but he put it off, because he wanted to watch TV. But the shows turned out to be boring, so he changed his mind and turned it on.",35,35,3.857142857,3.885714286,169,170,2.68875436,2.662076273,6.733328366,6.870186454,0.138194321,0.13799335
3,Referential Ambiguity,WSC273,Fred watched TV while George went out to buy groceries. After an hour he got back.,Fred watched TV while his children went out to buy groceries. After an hour they got back.,16,17,4.1875,4.352941176,82,90,2.700475109,2.776549105,8.719959167,8.080342036,0.043715913,0.04344621
3,Referential Ambiguity,WSC273,Fred watched TV while George went out to buy groceries. After an hour he got up.,Fred watched TV while his children went out to buy groceries. After an hour he got up.,16,17,4.0625,4.117647059,80,86,2.700475109,2.835372634,8.719959167,8.0176538,0.043715913,0.043343552
3,Referential Ambiguity,WSC273,"George got free tickets to the play, but he gave them to Eric, because he was not particularly eager to see it.","George got free tickets to the play, but he gave them to Emily, because he was not particularly eager to see it.",22,22,4.090909091,4.136363636,111,112,2.37824249,2.37824249,7.139444391,7.139444391,0.135664567,0.135664567
3,Referential Ambiguity,WSC273,"George got free tickets to the play, but he gave them to Eric, because he was particularly eager to see it.","George got free tickets to the play, but he gave them to Emily, because she was particularly eager to see it.",21,21,4.142857143,4.238095238,107,109,2.392444514,2.365301656,7.294282981,7.282611029,0.136704445,0.135667762
3,Referential Ambiguity,WSC273,"George got free tickets to the play, but he gave them to Eric, even though he was particularly eager to see it.","George got free tickets to the play, but he gave them to Emily, even though he was particularly eager to see it.",22,22,4.090909091,4.136363636,111,112,2.409606127,2.409606127,7.383102164,7.383102164,0.130620825,0.130620825
3,Referential Ambiguity,WSC273,Grace was happy to trade me her sweater for my jacket. She thinks it looks dowdy on her.,Grace was happy to trade me her sweater for my earrings. She thinks it looks dowdy on her.,18,18,3.944444444,4.055555556,88,90,2.889866763,2.889866763,6.9386393,6.9386393,0.068134273,0.068134273
3,Referential Ambiguity,WSC273,Grace was happy to trade me her sweater for my jacket. She thinks it looks great on her.,Grace was happy to trade me her sweater for my earrings. She thinks they look great on her.,18,18,3.944444444,4.111111111,88,91,2.821740821,2.842851933,6.556417078,6.542928189,0.068857839,0.064533636
3,Referential Ambiguity,WSC273,I can't cut that tree down with that axe; it is too small.,I can't cut those trees down with that axe; it is too small.,13,13,3.538461538,3.692307692,58,60,2.868369298,2.77731291,6.517279944,7.048652257,0.059950605,0.04943658
3,Referential Ambiguity,WSC273,I can't cut that tree down with that axe; it is too thick.,I can't cut those trees down with that axe; They are too thick.,13,13,3.538461538,3.923076923,58,63,2.868369298,2.823179599,6.517279944,7.55639557,0.059950605,0.032401652
3,Referential Ambiguity,WSC273,"I couldn't find a spoon, so I tried using a pen to stir my coffee. But that turned out to be a bad idea, because it got full of coffee.","I couldn't find a spoon, so I tried using a pen to stir our coffees. But that turned out to be a bad idea, because it got full of coffee.",30,30,3.533333333,3.6,135,137,2.54046229,2.52546229,6.361153922,6.415504622,0.111574584,0.111486646
3,Referential Ambiguity,WSC273,"I couldn't find a spoon, so I tried using a pen to stir my coffee. But that turned out to be a bad idea, because it got full of ink.","I couldn't find a spoon, so I tried using a pen to stir our coffees. But that turned out to be a bad idea, because they got full of ink.",30,30,3.433333333,3.566666667,132,136,2.54046229,2.52946229,6.361153922,6.431490122,0.111574584,0.108706056
3,Referential Ambiguity,WSC273,I couldn't put the pot on the shelf because it was too high.,I couldn't put the pots on the shelf because it was too high.,13,13,3.692307692,3.769230769,60,61,2.75404107,2.617600067,5.913609016,6.302073098,0.182569958,0.182539793
3,Referential Ambiguity,WSC273,I couldn't put the pot on the shelf because it was too tall.,I couldn't put the pots on the shelf because they were too tall.,13,13,3.692307692,4.0,60,64,2.75404107,2.61067699,5.913609016,6.338962713,0.182569958,0.173088364
3,Referential Ambiguity,WSC273,I poured water from the bottle into the cup until it was empty.,I poured water from the bottle into the cups until it was empty.,13,13,3.923076923,4.0,63,64,2.90327184,2.752215452,5.731583631,6.303124636,0.178497353,0.178377337
3,Referential Ambiguity,WSC273,I poured water from the bottle into the cup until it was full.,I poured water from the bottle into the cups until they were full.,13,13,3.846153846,4.153846154,62,66,2.90327184,2.745292375,5.731583631,6.340014252,0.178497353,0.168925908
3,Referential Ambiguity,WSC273,I put the butterfly wing on the table and it broke.,I put the butterfly wings on the table and they broke.,11,11,3.727272727,4.0,51,54,3.145115178,2.990230356,4.663818461,5.27196374,0.25989767,0.25230912
3,Referential Ambiguity,WSC273,I put the cake away in the refrigerator. It has a lot of butter in it.,I put the heavy books on the table and they broke.,16,11,3.4375,3.636363636,70,50,2.887816739,2.848412174,5.854096829,5.306509194,0.234640462,0.253728374
3,Referential Ambiguity,WSC273,I put the cake away in the refrigerator. It has a lot of leftovers in it.,I put the cakes away in the refrigerator. They have a lot of butter in it.,16,16,3.625,3.6875,73,74,2.861566739,2.723441739,5.844096829,5.882846829,0.23461587,0.236009878
3,Referential Ambiguity,WSC273,I put the heavy book on the table and it broke.,I put the cakes away in the refrigerator. It has a lot of leftovers in it.,11,16,3.363636364,3.6875,47,74,3.00693336,2.750708424,4.597454824,6.327848896,0.261245986,0.23458626
3,Referential Ambiguity,WSC273,"I saw Jim yelling at some guy in a military uniform with a huge red beard. I don't know who he was, but he looked very unhappy.","I saw Mary yelling at some guy in a military uniform with a huge red beard. I don't know who he was, but he looked very unhappy.",27,27,3.740740741,3.777777778,127,128,3.072874139,3.072874139,6.024776943,6.024776943,0.059279638,0.059279638
3,Referential Ambiguity,WSC273,"I saw Jim yelling at some guy in a military uniform with a huge red beard. I don't know why he was, but he looked very unhappy.","I saw Mary yelling at some guy in a military uniform with a huge red beard. I don't know why she was, but he looked very unhappy.",27,27,3.740740741,3.814814815,127,129,3.077318583,3.056207472,6.030697499,6.021619314,0.058576982,0.057770673
3,Referential Ambiguity,WSC273,"I stuck a pin through a carrot. When I pulled the pin out, it had a hole.","I stuck some pins through a carrot. When I pulled the pins out, it had a hole.",17,17,3.352941176,3.647058824,73,78,2.924784399,2.763168747,6.736504557,7.612601389,0.137539881,0.115759627
3,Referential Ambiguity,WSC273,"I stuck a pin through a carrot. When I pulled the pin out, it left a hole.","I stuck some pins through a carrot. When I pulled the pins out, they left a hole.",17,17,3.411764706,3.823529412,74,81,3.038313811,2.883756982,6.417187318,7.321493855,0.136755562,0.110068383
3,Referential Ambiguity,WSC273,I took the water bottle out of the backpack so that it would be handy.,I took the water bottles out of the backpack so that they would be handy.,15,15,3.733333333,3.933333333,70,73,2.696417797,2.579502261,5.157361209,5.685334413,0.202625944,0.197037688
3,Referential Ambiguity,WSC273,I took the water bottle out of the backpack so that it would be lighter.,I took the water bottles out of the backpack so that it would be lighter.,15,15,3.866666667,3.933333333,72,73,2.696417797,2.571502261,5.157361209,5.653363413,0.202625944,0.202598869
3,Referential Ambiguity,WSC273,"I tried to paint a picture of an orchard, with lemons in the lemon trees, but they came out looking more like light bulbs.","I tried to paint a picture of an orchard, with lemons in the lemon tree, but they came out looking more like light bulbs.",24,24,4.125,4.083333333,122,121,2.77396116,2.77396116,6.325543314,6.325543314,0.136718861,0.136718861
3,Referential Ambiguity,WSC273,"I tried to paint a picture of an orchard, with lemons in the lemon trees, but they came out looking more like telephone poles.","I tried to paint a picture of an orchard, with lemons in the lemon tree, but it came out looking more like a telephone pole.",24,25,4.291666667,4.0,126,124,2.80521116,2.746602713,6.349709981,6.192274342,0.136603954,0.150177115
3,Referential Ambiguity,WSC273,"I used an old rag to clean the knife, and then I put it in the drawer.","I used an old rag to clean the knifes, and then I put them in the drawer.",17,17,3.176470588,3.352941176,70,73,2.598384348,2.61191376,5.732249486,5.761712957,0.217051072,0.210923166
3,Referential Ambiguity,WSC273,"I used an old rag to clean the knife, and then I put it in the trash.","I used an old rag to clean the knifes, and then I put it in the trash.",17,17,3.117647059,3.176470588,69,70,2.598384348,2.598384348,5.732249486,5.732249486,0.217051072,0.217051072
3,Referential Ambiguity,WSC273,"I was trying to open the lock with the key, but someone had filled the keyhole with chewing gum, and I couldn't get it in.","I was trying to open the lock with the keys, but someone had filled the keyhole with chewing gum, and I couldn't get them in.",25,25,3.92,4.04,122,125,2.657253391,2.666453391,6.785212184,6.805247344,0.186243787,0.182076811
3,Referential Ambiguity,WSC273,"I was trying to open the lock with the key, but someone had filled the keyhole with chewing gum, and I couldn't get it out.","I was trying to open the lock with the keys, but someone had filled the keyhole with chewing gum, and I couldn't get them out.",25,25,3.96,4.08,123,126,2.657253391,2.666453391,6.785212184,6.805247344,0.186243787,0.182076811
3,Referential Ambiguity,WSC273,I'm sure that my map will show this building; it is very famous.,I'm sure that my map will show these building; they are very famous.,13,13,4.0,4.307692308,64,68,2.639138529,2.668369298,6.97434979,7.126007098,0.058422347,0.035382731
3,Referential Ambiguity,WSC273,I'm sure that my map will show this building; it is very good.,I'm sure that my map will show these building; it is very good.,13,13,3.846153846,3.923076923,62,63,2.639138529,2.63067699,6.97434979,7.089117482,0.058422347,0.049486945
3,Referential Ambiguity,WSC273,"If the con artist has succeeded in fooling Sam, he would have gotten a lot of money.","If the con artists had succeeded in fooling Sam, they would have gotten a lot of money.",17,17,4.0,4.176470588,84,87,2.624196164,2.420078517,7.506403616,7.817329091,0.147687625,0.146320693
3,Referential Ambiguity,WSC273,"If the con artist has succeeded in fooling Sam, he would have lost a lot of money.","If the con artists had succeeded in fooling Sam, he would have lost a lot of money.",17,17,3.882352941,3.941176471,82,83,2.627725576,2.482431458,7.506403616,7.754640855,0.147858657,0.146389066
3,Referential Ambiguity,WSC273,"In July, Kamtchatka declared war on Yakutsk. Since Yakutsk's army was much better equipped and ten times larger, they were defeated within weeks.","In July, Kamtchatka's general declared war on Yakutsk. Since Yakutsk's army was much better equipped and ten times larger, he was defeated within weeks.",23,24,5.347826087,5.375,145,152,2.755060983,2.758183442,8.643515603,8.57438162,0.039108032,0.039611062
3,Referential Ambiguity,WSC273,"In July, Kamtchatka declared war on Yakutsk. Since Yakutsk's army was much better equipped and ten times larger, they were victorious within weeks.","In July, Kamtchatka's general declared war on Yakutsk. Since Yakutsk's army was much better equipped and ten times larger, they were victorious within weeks.",23,24,5.434782609,5.583333333,147,157,2.740278374,2.693600109,8.602209818,8.579201075,0.039101117,0.038033366
3,Referential Ambiguity,WSC273,"In the middle of the outdoor concert, the rain started falling, and it continued until 10.","In the middle of the outdoor concerts, the rain started falling, and it continued until 10.",16,16,4.6875,4.75,90,91,2.599458424,2.599458424,6.891148463,6.891148463,0.266789467,0.266789467
3,Referential Ambiguity,WSC273,"In the middle of the outdoor concert, the rain started falling, but it continued until 10.","In the middle of the outdoor concerts, the rain started falling, but they continued until 10.",16,16,4.6875,4.875,90,93,2.631958424,2.639458424,6.89314665,6.923119463,0.234378356,0.229164748
